municipality_code,municipality_name,lokalsykehus_id,dps_id,hf_id,helseregion,quality,note
3336,Rollag,S32,D45,894166762,H12,ekte,
3338,Nore og Uvdal,S32,D45,894166762,H12,ekte,
3401,Kongsvinger,S37,D51,983971636,H12,ekte,
3403,Hamar,S38,D54,983971709,H12,ekte,
3405,Lillehammer,S40,D56,983971709,H12,ekte,
3407,Gjøvik,S39,D55,983971709,H12,ekte,
3411,Ringsaker,S38,D54,983971709,H12,ekte,
3412,Løten,S38,D54,983971709,H12,ekte,
3413,Stange,S38,D54,983971709,H12,ekte,
3414,Nord-Odal,S37,D51,983971636,H12,ekte,
3415,Sør-Odal,S37,D51,983971636,H12,ekte,
3416,Eidskog,S37,D51,983971636,H12,ekte,
3417,Grue,S37,D51,983971636,H12,ekte,
3418,Åsnes,S38,D54,983971709,H12,ekte,
3419,Våler,S38,D54,983971709,H12,ekte,
3420,Elverum,S38,D54,983971709,H12,ekte,
3421,Trysil,S38,D54,983971709,H12,ekte,
3422,Åmot,S38,D54,983971709,H12,ekte,
3423,Stor-Elvdal,S38,D57,983971709,H12,ekte,
3424,Rendalen,S41,D57,983971709,H12,ekte,
3425,Engerdal,S38,D57,983971709,H12,ekte,
3426,Tolga,S41,D57,983971709,H12,ekte,
3427,Tynset,S41,D57,983971709,H12,ekte,
3428,Alvdal,S41,D57,983971709,H12,ekte,
3429,Folldal,S41,D57,983971709,H12,ekte,
3430,Os,S41,D57,983971709,H12,ekte,
3431,Dovre,S40,D56,983971709,H12,ekte,
3432,Lesja,S40,D56,983971709,H12,ekte,
3433,Skjåk,S40,D56,983971709,H12,ekte,
3434,Lom,S40,D56,983971709,H12,ekte,
3435,Vågå,S40,D56,983971709,H12,ekte,
3436,Nord-Fron,S40,D56,983971709,H12,ekte,
3437,Sel,S40,D56,983971709,H12,ekte,
3438,Sør-Fron,S40,D56,983971709,H12,ekte,
3439,Ringebu,S40,D56,983971709,H12,ekte,
3440,Øyer,S40,D56,983971709,H12,ekte,
3441,Gausdal,S40,D56,983971709,H12,ekte,
3442,Østre Toten,S39,D55,983971709,H12,ekte,
3443,Vestre Toten,S39,D55,983971709,H12,ekte,
3446,Gran,S39,D55,983971709,H12,ekte,
3447,Søndre Land,S39,D55,983971709,H12,ekte,
3448,Nordre Land,S39,D55,983971709,H12,ekte,
3449,Sør-Aurdal,S39,D55,983971709,H12,ekte,
3450,Etnedal,S39,D55,983971709,H12,ekte,
3451,Nord-Aurdal,S39,D55,983971709,H12,ekte,
3452,Vestre Slidre,S39,D55,983971709,H12,ekte,
3453,Øystre Slidre,S39,D55,983971709,H12,ekte,
3454,Vang,S39,D55,983971709,H12,ekte,
3901,Horten,S46,D65,983975259,H12,ekte,
3903,Holmestrand,S46,D65,983975259,H12,avledet,"Delt lokalsykehus: S46 Vestfold (46), S31 Drammen (19); Delt DPS: D65 Vestfold (46), D44 Drammen (19)"
3905,Tønsberg,S46,D65,983975259,H12,ekte,
3907,Sandefjord,S46,D65,983975259,H12,ekte,
3909,Larvik,S46,D65,983975259,H12,ekte,
3911,Færder,S46,D65,983975259,H12,ekte,
4001,Porsgrunn,S48,D66,983975267,H12,ekte,
4003,Skien,S48,D66,983975267,H12,ekte,
4005,Notodden,S47,D67,983975267,H12,ekte,
4010,Siljan,S48,D66,983975267,H12,ekte,
4012,Bamble,S48,D66,983975267,H12,ekte,
4014,Kragerø,S48,D66,983975267,H12,ekte,
4016,Drangedal,S48,D66,983975267,H12,ekte,
4018,Nome,S48,D66,983975267,H12,ekte,
4020,Midt-Telemark,S47,D67,983975267,H12,ekte,
4022,Seljord,S47,D67,983975267,H12,ekte,
4024,Hjartdal,S47,D67,983975267,H12,ekte,
4026,Tinn,S47,D67,983975267,H12,ekte,
4028,Kviteseid,S47,D67,983975267,H12,ekte,
4030,Nissedal,S48,D67,983975267,H12,ekte,
4032,Fyresdal,S48,D67,983975267,H12,ekte,
4034,Tokke,S47,D67,983975267,H12,ekte,
4036,Vinje,S47,D67,983975267,H12,ekte,
4201,Risør,S43,D64,983975240,H12,ekte,
4202,Grimstad,S43,D64,983975240,H12,ekte,
4203,Arendal,S43,D64,983975240,H12,ekte,
4204,Kristiansand,S45,D62,983975240,H12,avledet,"Delt DPS: D62 Solvang (0), D63 Strømme (0)"
4205,Lindesnes,S45,D63,983975240,H12,ekte,
4206,Farsund,S44,D61,983975240,H12,ekte,
4207,Flekkefjord,S44,D61,983975240,H12,ekte,
4211,Gjerstad,S43,D64,983975240,H12,ekte,
4212,Vegårshei,S43,D64,983975240,H12,ekte,
4213,Tvedestrand,S43,D64,983975240,H12,ekte,
4214,Froland,S43,D64,983975240,H12,ekte,
4215,Lillesand,S45,D64,983975240,H12,ekte,
4216,Birkenes,S45,D64,983975240,H12,ekte,
4217,Åmli,S43,D64,983975240,H12,ekte,
4218,Iveland,S45,D64,983975240,H12,ekte,
4219,Evje og Hornnes,S45,D64,983975240,H12,ekte,
4220,Bygland,S45,D64,983975240,H12,ekte,
4221,Valle,S45,D64,983975240,H12,ekte,
4222,Bykle,S45,D64,983975240,H12,ekte,
4223,Vennesla,S45,D63,983975240,H12,ekte,
4224,Åseral,S45,D63,983975240,H12,ekte,
4225,Lyngdal,S44,D61,983975240,H12,ekte,
4226,Hægebostad,S44,D61,983975240,H12,ekte,
4227,Kvinesdal,S44,D61,983975240,H12,ekte,
4228,Sirdal,S44,D61,983975240,H12,ekte,
4601,Bergen,S17,D26,983974724,H03,avledet,"Delt lokalsykehus: S17 Haukeland (196), S16 Haraldsplass (168); Delt DPS: D26 Kronstad (191), D24 Betanien (73), D25 Bjørgvin (69), D27 Solli (31)"
4602,Kinn,S19,D32,983974732,H03,ekte,
4611,Etne,S13,D21,983974694,H03,ekte,
4612,Sveio,S13,D21,983974694,H03,ekte,
4613,Bømlo,S15,D23,983974694,H03,ekte,
4614,Stord,S15,D23,983974694,H03,ekte,
4615,Fitjar,S15,D23,983974694,H03,ekte,
4616,Tysnes,S15,D23,983974694,H03,ekte,
4617,Kvinnherad,S15,D20,983974694,H03,ekte,
4618,Ullensvang,S14,D20,983974694,H03,ekte,
4619,Eidfjord,S18,D28,983974724,H03,ekte,
4620,Ulvik,S18,D28,983974724,H03,ekte,
4621,Voss,S18,D28,983974724,H03,ekte,
4622,Kvam,S18,D28,983974724,H03,ekte,
4623,Samnanger,S16,D27,983974724,H03,ekte,
4624,Bjørnafjorden,S17,D27,983974724,H03,ekte,
4625,Austevoll,S17,D27,983974724,H03,ekte,
4626,Øygarden,S17,D29,983974724,H03,ekte,
4627,Askøy,S17,D29,983974724,H03,ekte,
4628,Vaksdal,S16,D28,983974724,H03,ekte,
4629,Modalen,S16,D25,983974724,H03,ekte,
4630,Osterøy,S16,D25,983974724,H03,ekte,
4631,Alver,S16,D25,983974724,H03,ekte,
4632,Austrheim,S16,D25,983974724,H03,ekte,
4633,Fedje,S16,D25,983974724,H03,ekte,
4634,Masfjorden,S16,D25,983974724,H03,ekte,
4635,Gulen,S16,D25,983974724,H03,ekte,
4636,Solund,S19,D30,983974732,H03,ekte,
4637,Hyllestad,S19,D30,983974732,H03,ekte,
4638,Høyanger,S19,D30,983974732,H03,ekte,
4639,Vik,S20,D31,983974732,H03,ekte,
4640,Sogndal,S19,D31,983974732,H03,ekte,
4641,Aurland,S20,D31,983974732,H03,ekte,
4642,Lærdal,S20,D31,983974732,H03,ekte,
4643,Årdal,S20,D31,983974732,H03,ekte,
4644,Luster,S19,D31,983974732,H03,ekte,
4645,Askvoll,S19,D30,983974732,H03,ekte,
4646,Fjaler,S19,D30,983974732,H03,ekte,
4647,Sunnfjord,S19,D30,983974732,H03,ekte,
4648,Bremanger,S19,D30,983974732,H03,ekte,
4649,Stad,S21,D32,983974732,H03,ekte,
4650,Gloppen,S19,D32,983974732,H03,ekte,
4651,Stryn,S19,D32,983974732,H03,ekte,
5001,Trondheim,S23,D33,883974832,H04,avledet,"Delt DPS: D33 Nidaros (0), D34 Nidelv (0)"
5006,Steinkjer,S24,D35,983974791,H04,ekte,
5007,Namsos,S25,D36,983974791,H04,ekte,
5014,Frøya,S22,D34,883974832,H04,ekte,
5020,Osen,S25,D36,983974791,H04,ekte,
5021,Oppdal,S22,D34,883974832,H04,ekte,
5022,Rennebu,S22,D34,883974832,H04,ekte,
5025,Røros,S23,D34,883974832,H04,ekte,
5026,Holtålen,S23,D34,883974832,H04,ekte,
5027,Midtre Gauldal,S23,D34,883974832,H04,ekte,
5028,Melhus,S23,D34,883974832,H04,ekte,
5029,Skaun,S22,D34,883974832,H04,ekte,
5031,Malvik,S23,D33,883974832,H04,ekte,
5032,Selbu,S23,D37,883974832,H04,ekte,
5033,Tydal,S23,D37,883974832,H04,ekte,
5034,Meråker,S24,D37,983974791,H04,ekte,
5035,Stjørdal,S24,D37,983974791,H04,ekte,
5036,Frosta,S24,D37,983974791,H04,ekte,
5037,Levanger,S24,D35,983974791,H04,avledet,"Delt DPS: D35 Levanger (48), D37 Stjørdal (6)"
5038,Verdal,S24,D35,983974791,H04,ekte,
5041,Snåsa,S24,D35,983974791,H04,ekte,
5042,Lierne,S25,D36,983974791,H04,ekte,
5043,Røyrvik,S25,D36,983974791,H04,ekte,
5044,Namsskogan,S25,D36,983974791,H04,ekte,
5045,Grong,S25,D36,983974791,H04,ekte,
5046,Høylandet,S25,D36,983974791,H04,ekte,
5047,Overhalla,S25,D36,983974791,H04,ekte,
5049,Flatanger,S25,D36,983974791,H04,ekte,
5052,Leka,S25,D36,983974791,H04,ekte,
5053,Inderøy,S24,D35,983974791,H04,ekte,
5054,Indre Fosen,S23,D33,883974832,H04,ekte,
5055,Heim,S22,D34,883974832,H04,ekte,
5056,Hitra,S22,D34,883974832,H04,ekte,
5057,Ørland,S23,D33,883974832,H04,ekte,
5058,Åfjord,S23,D33,883974832,H04,ekte,
5059,Orkland,S22,D34,883974832,H04,ekte,
5060,Nærøysund,S25,D36,983974791,H04,ekte,
5061,Rindal,S22,D34,883974832,H04,ekte,
5501,Tromsø,S05,D08,983974899,H05,ekte,
5503,Harstad,S03,D07,983974899,H05,ekte,
5510,Kvæfjord,S03,D07,983974899,H05,ekte,
5512,Tjeldsund,S03,D06,983974899,H05,ekte,
5514,Ibestad,S03,D07,983974899,H05,ekte,
5516,Gratangen,S04,D04,983974899,H05,ekte,
5518,Lavangen,S04,D04,983974899,H05,ekte,
5520,Bardu,S05,D04,983974899,H05,ekte,
5522,Salangen,S04,D04,983974899,H05,ekte,
5524,Målselv,S05,D04,983974899,H05,ekte,
5526,Sørreisa,S05,D04,983974899,H05,ekte,
5528,Dyrøy,S05,D04,983974899,H05,ekte,
5530,Senja,S05,D04,983974899,H05,ekte,
5532,Balsfjord,S05,D08,983974899,H05,ekte,
5534,Karlsøy,S05,D08,983974899,H05,ekte,
5536,Lyngen,S05,D08,983974899,H05,ekte,
5538,Storfjord,S05,D08,983974899,H05,ekte,
5540,Kåfjord,S05,D05,983974899,H05,ekte,
5542,Skjervøy,S05,D05,983974899,H05,ekte,
5544,Nordreisa,S05,D05,983974899,H05,ekte,
5546,Kvænangen,S05,D05,983974899,H05,ekte,
5601,Alta,S01,D02,983974880,H05,ekte,
5603,Hammerfest,S01,D02,983974880,H05,ekte,
5605,Sør-Varanger,S02,D03,983974880,H05,ekte,
5607,Vadsø,S02,D03,983974880,H05,ekte,
5610,Karasjok,S01,D01,983974880,H05,ekte,
5612,Kautokeino,S01,D01,983974880,H05,ekte,
5614,Loppa,S01,D02,983974880,H05,ekte,
5616,Hasvik,S01,D02,983974880,H05,ekte,
5618,Måsøy,S01,D02,983974880,H05,ekte,
5620,Nordkapp,S01,D02,983974880,H05,ekte,
5622,Porsanger,S01,D01,983974880,H05,ekte,
5624,Lebesby,S02,D01,983974880,H05,ekte,
5626,Gamvik,S02,D01,983974880,H05,ekte,
5628,Tana,S02,D03,983974880,H05,ekte,
5630,Berlevåg,S02,D03,983974880,H05,ekte,
5632,Båtsfjord,S02,D03,983974880,H05,ekte,
5634,Vardø,S02,D03,983974880,H05,ekte,
5636,Nesseby,S02,D03,983974880,H05,ekte,
