hf_id,hf_navn,helseregion,spesialitet_kode,spesialitet,metric,period,value,unit,source_id,quality
983974724,Helse Bergen HF,H03,17a,Barnekirurgi,arsverk,2025,1,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17b,Gastroenterologisk kirurgi,arsverk,2015,14,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17b,Gastroenterologisk kirurgi,arsverk,2016,15,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17b,Gastroenterologisk kirurgi,arsverk,2017,17,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17b,Gastroenterologisk kirurgi,arsverk,2018,21,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17b,Gastroenterologisk kirurgi,arsverk,2019,20,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17b,Gastroenterologisk kirurgi,arsverk,2020,19,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17b,Gastroenterologisk kirurgi,arsverk,2021,20,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17b,Gastroenterologisk kirurgi,arsverk,2022,17,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17b,Gastroenterologisk kirurgi,arsverk,2023,21,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17b,Gastroenterologisk kirurgi,arsverk,2024,25,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17b,Gastroenterologisk kirurgi,arsverk,2025,22,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17c,Karkirurgi,arsverk,2015,6,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17c,Karkirurgi,arsverk,2016,5,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17c,Karkirurgi,arsverk,2017,5,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17c,Karkirurgi,arsverk,2018,5,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17c,Karkirurgi,arsverk,2019,7,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17c,Karkirurgi,arsverk,2020,5,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17c,Karkirurgi,arsverk,2021,6,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17c,Karkirurgi,arsverk,2022,5,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17c,Karkirurgi,arsverk,2023,7,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17c,Karkirurgi,arsverk,2024,8,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17c,Karkirurgi,arsverk,2025,6,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17d,Thoraxkirurgi,arsverk,2015,10,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17d,Thoraxkirurgi,arsverk,2016,10,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17d,Thoraxkirurgi,arsverk,2017,11,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17d,Thoraxkirurgi,arsverk,2018,10,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17d,Thoraxkirurgi,arsverk,2019,10,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17d,Thoraxkirurgi,arsverk,2020,11,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17d,Thoraxkirurgi,arsverk,2021,11,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17d,Thoraxkirurgi,arsverk,2022,11,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17d,Thoraxkirurgi,arsverk,2023,11,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17d,Thoraxkirurgi,arsverk,2024,13,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17d,Thoraxkirurgi,arsverk,2025,13,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17e,Urologi,arsverk,2015,10,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17e,Urologi,arsverk,2016,10,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17e,Urologi,arsverk,2017,13,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17e,Urologi,arsverk,2018,13,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17e,Urologi,arsverk,2019,12,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17e,Urologi,arsverk,2020,12,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17e,Urologi,arsverk,2021,11,arsverk,ssb_14080,ekte
