omrade_id,omrade_navn,omrade_type,tjenesteomrade,aldersgruppe,period,value,unit,source_id,quality
983974694,Helse Fonna HF,hf,VOP,18-29,2015,27491,personer,ssb_13982,ekte
983974694,Helse Fonna HF,hf,VOP,30-49,2015,48000,personer,ssb_13982,ekte
983974694,Helse Fonna HF,hf,VOP,50-66,2015,36224,personer,ssb_13982,ekte
983974694,Helse Fonna HF,hf,VOP,67-79,2015,17400,personer,ssb_13982,ekte
983974694,Helse Fonna HF,hf,VOP,80-89,2015,6431,personer,ssb_13982,ekte
983974694,Helse Fonna HF,hf,VOP,90+,2015,1750,personer,ssb_13982,ekte
983974694,Helse Fonna HF,hf,VOP,alle,2015,137296,personer,ssb_13982,ekte
983974694,Helse Fonna HF,hf,BUP,0-17,2015,42225,personer,ssb_13982,ekte
983974694,Helse Fonna HF,hf,BUP,alle,2015,42225,personer,ssb_13982,ekte
983974694,Helse Fonna HF,hf,TSB,0-17,2015,42225,personer,ssb_13982,ekte
983974694,Helse Fonna HF,hf,TSB,18-29,2015,27491,personer,ssb_13982,ekte
983974694,Helse Fonna HF,hf,TSB,30-49,2015,48000,personer,ssb_13982,ekte
983974694,Helse Fonna HF,hf,TSB,50-66,2015,36224,personer,ssb_13982,ekte
983974694,Helse Fonna HF,hf,TSB,67-79,2015,17400,personer,ssb_13982,ekte
983974694,Helse Fonna HF,hf,TSB,80-89,2015,6431,personer,ssb_13982,ekte
983974694,Helse Fonna HF,hf,TSB,90+,2015,1750,personer,ssb_13982,ekte
983974694,Helse Fonna HF,hf,TSB,alle,2015,179521,personer,ssb_13982,ekte
883974832,St. Olavs Hospital HF,hf,SOM,0-17,2015,66202,personer,ssb_13982,ekte
883974832,St. Olavs Hospital HF,hf,SOM,18-29,2015,56368,personer,ssb_13982,ekte
883974832,St. Olavs Hospital HF,hf,SOM,30-49,2015,85140,personer,ssb_13982,ekte
883974832,St. Olavs Hospital HF,hf,SOM,50-66,2015,60646,personer,ssb_13982,ekte
883974832,St. Olavs Hospital HF,hf,SOM,67-79,2015,29039,personer,ssb_13982,ekte
883974832,St. Olavs Hospital HF,hf,SOM,80-89,2015,10316,personer,ssb_13982,ekte
883974832,St. Olavs Hospital HF,hf,SOM,90+,2015,2387,personer,ssb_13982,ekte
883974832,St. Olavs Hospital HF,hf,SOM,alle,2015,310098,personer,ssb_13982,ekte
883974832,St. Olavs Hospital HF,hf,VOP,18-29,2015,56211,personer,ssb_13982,ekte
883974832,St. Olavs Hospital HF,hf,VOP,30-49,2015,84883,personer,ssb_13982,ekte
883974832,St. Olavs Hospital HF,hf,VOP,50-66,2015,60463,personer,ssb_13982,ekte
883974832,St. Olavs Hospital HF,hf,VOP,67-79,2015,28924,personer,ssb_13982,ekte
883974832,St. Olavs Hospital HF,hf,VOP,80-89,2015,10247,personer,ssb_13982,ekte
883974832,St. Olavs Hospital HF,hf,VOP,90+,2015,2371,personer,ssb_13982,ekte
883974832,St. Olavs Hospital HF,hf,VOP,alle,2015,243099,personer,ssb_13982,ekte
883974832,St. Olavs Hospital HF,hf,BUP,0-17,2015,65938,personer,ssb_13982,ekte
883974832,St. Olavs Hospital HF,hf,BUP,alle,2015,65938,personer,ssb_13982,ekte
883974832,St. Olavs Hospital HF,hf,TSB,0-17,2015,65938,personer,ssb_13982,ekte
883974832,St. Olavs Hospital HF,hf,TSB,18-29,2015,56211,personer,ssb_13982,ekte
883974832,St. Olavs Hospital HF,hf,TSB,30-49,2015,84883,personer,ssb_13982,ekte
883974832,St. Olavs Hospital HF,hf,TSB,50-66,2015,60463,personer,ssb_13982,ekte
883974832,St. Olavs Hospital HF,hf,TSB,67-79,2015,28924,personer,ssb_13982,ekte
883974832,St. Olavs Hospital HF,hf,TSB,80-89,2015,10247,personer,ssb_13982,ekte
883974832,St. Olavs Hospital HF,hf,TSB,90+,2015,2371,personer,ssb_13982,ekte
883974832,St. Olavs Hospital HF,hf,TSB,alle,2015,309037,personer,ssb_13982,ekte
993467049,Oslo Universitetssykehus HF,hf,SOM,0-17,2015,57708,personer,ssb_13982,ekte
993467049,Oslo Universitetssykehus HF,hf,SOM,18-29,2015,46282,personer,ssb_13982,ekte
993467049,Oslo Universitetssykehus HF,hf,SOM,30-49,2015,84311,personer,ssb_13982,ekte
993467049,Oslo Universitetssykehus HF,hf,SOM,50-66,2015,46258,personer,ssb_13982,ekte
993467049,Oslo Universitetssykehus HF,hf,SOM,67-79,2015,18453,personer,ssb_13982,ekte
993467049,Oslo Universitetssykehus HF,hf,SOM,80-89,2015,7776,personer,ssb_13982,ekte
993467049,Oslo Universitetssykehus HF,hf,SOM,90+,2015,2217,personer,ssb_13982,ekte
993467049,Oslo Universitetssykehus HF,hf,SOM,alle,2015,263005,personer,ssb_13982,ekte
993467049,Oslo Universitetssykehus HF,hf,VOP,18-29,2015,46282,personer,ssb_13982,ekte
993467049,Oslo Universitetssykehus HF,hf,VOP,30-49,2015,84311,personer,ssb_13982,ekte
993467049,Oslo Universitetssykehus HF,hf,VOP,50-66,2015,46258,personer,ssb_13982,ekte
993467049,Oslo Universitetssykehus HF,hf,VOP,67-79,2015,18453,personer,ssb_13982,ekte
993467049,Oslo Universitetssykehus HF,hf,VOP,80-89,2015,7776,personer,ssb_13982,ekte
993467049,Oslo Universitetssykehus HF,hf,VOP,90+,2015,2217,personer,ssb_13982,ekte
993467049,Oslo Universitetssykehus HF,hf,VOP,alle,2015,205297,personer,ssb_13982,ekte
993467049,Oslo Universitetssykehus HF,hf,BUP,0-17,2015,57708,personer,ssb_13982,ekte
993467049,Oslo Universitetssykehus HF,hf,BUP,alle,2015,57708,personer,ssb_13982,ekte
993467049,Oslo Universitetssykehus HF,hf,TSB,0-17,2015,57708,personer,ssb_13982,ekte
993467049,Oslo Universitetssykehus HF,hf,TSB,18-29,2015,46282,personer,ssb_13982,ekte
993467049,Oslo Universitetssykehus HF,hf,TSB,30-49,2015,84311,personer,ssb_13982,ekte
993467049,Oslo Universitetssykehus HF,hf,TSB,50-66,2015,46258,personer,ssb_13982,ekte
993467049,Oslo Universitetssykehus HF,hf,TSB,67-79,2015,18453,personer,ssb_13982,ekte
993467049,Oslo Universitetssykehus HF,hf,TSB,80-89,2015,7776,personer,ssb_13982,ekte
993467049,Oslo Universitetssykehus HF,hf,TSB,90+,2015,2217,personer,ssb_13982,ekte
993467049,Oslo Universitetssykehus HF,hf,TSB,alle,2015,263005,personer,ssb_13982,ekte
894166762,Vestre Viken HF,hf,SOM,0-17,2015,107903,personer,ssb_13982,ekte
894166762,Vestre Viken HF,hf,SOM,18-29,2015,66608,personer,ssb_13982,ekte
894166762,Vestre Viken HF,hf,SOM,30-49,2015,133485,personer,ssb_13982,ekte
894166762,Vestre Viken HF,hf,SOM,50-66,2015,100461,personer,ssb_13982,ekte
894166762,Vestre Viken HF,hf,SOM,67-79,2015,47676,personer,ssb_13982,ekte
894166762,Vestre Viken HF,hf,SOM,80-89,2015,17003,personer,ssb_13982,ekte
894166762,Vestre Viken HF,hf,SOM,90+,2015,4206,personer,ssb_13982,ekte
894166762,Vestre Viken HF,hf,SOM,alle,2015,477342,personer,ssb_13982,ekte
894166762,Vestre Viken HF,hf,VOP,18-29,2015,66608,personer,ssb_13982,ekte
894166762,Vestre Viken HF,hf,VOP,30-49,2015,133485,personer,ssb_13982,ekte
894166762,Vestre Viken HF,hf,VOP,50-66,2015,100461,personer,ssb_13982,ekte
894166762,Vestre Viken HF,hf,VOP,67-79,2015,47676,personer,ssb_13982,ekte
894166762,Vestre Viken HF,hf,VOP,80-89,2015,17003,personer,ssb_13982,ekte
894166762,Vestre Viken HF,hf,VOP,90+,2015,4206,personer,ssb_13982,ekte
894166762,Vestre Viken HF,hf,VOP,alle,2015,369439,personer,ssb_13982,ekte
894166762,Vestre Viken HF,hf,BUP,0-17,2015,107903,personer,ssb_13982,ekte
894166762,Vestre Viken HF,hf,BUP,alle,2015,107903,personer,ssb_13982,ekte
894166762,Vestre Viken HF,hf,TSB,0-17,2015,107903,personer,ssb_13982,ekte
894166762,Vestre Viken HF,hf,TSB,18-29,2015,66608,personer,ssb_13982,ekte
894166762,Vestre Viken HF,hf,TSB,30-49,2015,133485,personer,ssb_13982,ekte
894166762,Vestre Viken HF,hf,TSB,50-66,2015,100461,personer,ssb_13982,ekte
894166762,Vestre Viken HF,hf,TSB,67-79,2015,47676,personer,ssb_13982,ekte
894166762,Vestre Viken HF,hf,TSB,80-89,2015,17003,personer,ssb_13982,ekte
894166762,Vestre Viken HF,hf,TSB,90+,2015,4206,personer,ssb_13982,ekte
894166762,Vestre Viken HF,hf,TSB,alle,2015,477342,personer,ssb_13982,ekte
983974791,Helse Nord-Trøndelag HF,hf,SOM,0-17,2015,30654,personer,ssb_13982,ekte
983974791,Helse Nord-Trøndelag HF,hf,SOM,18-29,2015,20903,personer,ssb_13982,ekte
983974791,Helse Nord-Trøndelag HF,hf,SOM,30-49,2015,33753,personer,ssb_13982,ekte
983974791,Helse Nord-Trøndelag HF,hf,SOM,50-66,2015,30008,personer,ssb_13982,ekte
983974791,Helse Nord-Trøndelag HF,hf,SOM,67-79,2015,15558,personer,ssb_13982,ekte
983974791,Helse Nord-Trøndelag HF,hf,SOM,80-89,2015,5593,personer,ssb_13982,ekte
983974791,Helse Nord-Trøndelag HF,hf,SOM,90+,2015,1256,personer,ssb_13982,ekte
983974791,Helse Nord-Trøndelag HF,hf,SOM,alle,2015,137725,personer,ssb_13982,ekte
983974791,Helse Nord-Trøndelag HF,hf,VOP,18-29,2015,20766,personer,ssb_13982,ekte
983974791,Helse Nord-Trøndelag HF,hf,VOP,30-49,2015,33544,personer,ssb_13982,ekte
983974791,Helse Nord-Trøndelag HF,hf,VOP,50-66,2015,29763,personer,ssb_13982,ekte
983974791,Helse Nord-Trøndelag HF,hf,VOP,67-79,2015,15414,personer,ssb_13982,ekte
983974791,Helse Nord-Trøndelag HF,hf,VOP,80-89,2015,5535,personer,ssb_13982,ekte
983974791,Helse Nord-Trøndelag HF,hf,VOP,90+,2015,1244,personer,ssb_13982,ekte
983974791,Helse Nord-Trøndelag HF,hf,VOP,alle,2015,106266,personer,ssb_13982,ekte
983974791,Helse Nord-Trøndelag HF,hf,BUP,0-17,2015,30482,personer,ssb_13982,ekte
983974791,Helse Nord-Trøndelag HF,hf,BUP,alle,2015,30482,personer,ssb_13982,ekte
983974791,Helse Nord-Trøndelag HF,hf,TSB,0-17,2015,30482,personer,ssb_13982,ekte
983974791,Helse Nord-Trøndelag HF,hf,TSB,18-29,2015,20766,personer,ssb_13982,ekte
983974791,Helse Nord-Trøndelag HF,hf,TSB,30-49,2015,33544,personer,ssb_13982,ekte
983974791,Helse Nord-Trøndelag HF,hf,TSB,50-66,2015,29763,personer,ssb_13982,ekte
983974791,Helse Nord-Trøndelag HF,hf,TSB,67-79,2015,15414,personer,ssb_13982,ekte
983974791,Helse Nord-Trøndelag HF,hf,TSB,80-89,2015,5535,personer,ssb_13982,ekte
983974791,Helse Nord-Trøndelag HF,hf,TSB,90+,2015,1244,personer,ssb_13982,ekte
983974791,Helse Nord-Trøndelag HF,hf,TSB,alle,2015,136748,personer,ssb_13982,ekte
983974910,Nordlandssykehuset HF,hf,SOM,0-17,2015,28788,personer,ssb_13982,ekte
983974910,Nordlandssykehuset HF,hf,SOM,18-29,2015,21117,personer,ssb_13982,ekte
983974910,Nordlandssykehuset HF,hf,SOM,30-49,2015,34751,personer,ssb_13982,ekte
983974910,Nordlandssykehuset HF,hf,SOM,50-66,2015,29816,personer,ssb_13982,ekte
983974910,Nordlandssykehuset HF,hf,SOM,67-79,2015,15074,personer,ssb_13982,ekte
