municipality_code,metric,metric_label,period,value,unit,source_id,quality
3428,kpr_k70_k99_0_74_rate,"Hjerte- og karsykdomsdiagnoser, totalt – per 1000",2021,67.0801745922352,rate,fhi_nokkel_370,ekte
3428,kpr_k70_k99_0_74_antall,"Hjerte- og karsykdomsdiagnoser, totalt – antall",2021,146,personer,fhi_nokkel_370,ekte
3428,kpr_p01_p29ogp70_p99_0_74_rate,Psykiske symptomer og lidelser – per 1000,2021,98.7824488858259,rate,fhi_nokkel_370,ekte
3428,kpr_p01_p29ogp70_p99_0_74_antall,Psykiske symptomer og lidelser – antall,2021,215,personer,fhi_nokkel_370,ekte
3428,kpr_p01_p29_0_74_rate,Psykiske symptomer – per 1000,2021,76.2692396048702,rate,fhi_nokkel_370,ekte
3428,kpr_p01_p29_0_74_antall,Psykiske symptomer – antall,2021,166,personer,fhi_nokkel_370,ekte
3428,kpr_p01_p04ogp25ogp28_p29_0_74_rate,"Angst og depresjon, symptomer – per 1000",2021,49.6209510682288,rate,fhi_nokkel_370,ekte
3428,kpr_p01_p04ogp25ogp28_p29_0_74_antall,"Angst og depresjon, symptomer – antall",2021,108,personer,fhi_nokkel_370,ekte
3428,kpr_p70_p99_0_74_rate,Psykiske lidelser – per 1000,2021,34.9184470480129,rate,fhi_nokkel_370,ekte
3428,kpr_p70_p99_0_74_antall,Psykiske lidelser – antall,2021,76,personer,fhi_nokkel_370,ekte
3428,kpr_p73ogp76_0_74_rate,Affektive og depressive lidelser – per 1000,2021,16.9997702733747,rate,fhi_nokkel_370,ekte
3428,kpr_p73ogp76_0_74_antall,Affektive og depressive lidelser – antall,2021,37,personer,fhi_nokkel_370,ekte
3428,kpr_p74ogp79ogp82_0_74_rate,Angstlidelser – per 1000,2021,8.27015851137147,rate,fhi_nokkel_370,ekte
3428,kpr_p74ogp79ogp82_0_74_antall,Angstlidelser – antall,2021,18,personer,fhi_nokkel_370,ekte
3428,kpr_l01_l29ogl70_l71ogl82_l99_0_74_rate,Muskel og skjelett (ekskl. brudd og skader) – per 1000,2021,313.806570181484,rate,fhi_nokkel_370,ekte
