municipality_code,metric,metric_label,period,value,unit,source_id,quality
1828,langtid_beboere,Institusjon - beboere på langtidsopphold (antall),2025,14,personer,ssb_12292,ekte
1828,sykehjem_beboere,Institusjon - sykehjemsbeboere (antall),2015,19,personer,ssb_12292,ekte
1828,sykehjem_beboere,Institusjon - sykehjemsbeboere (antall),2016,21,personer,ssb_12292,ekte
1828,sykehjem_beboere,Institusjon - sykehjemsbeboere (antall),2017,23,personer,ssb_12292,ekte
1828,sykehjem_beboere,Institusjon - sykehjemsbeboere (antall),2018,23,personer,ssb_12292,ekte
1828,sykehjem_beboere,Institusjon - sykehjemsbeboere (antall),2019,23,personer,ssb_12292,ekte
1828,sykehjem_beboere,Institusjon - sykehjemsbeboere (antall),2020,17,personer,ssb_12292,ekte
1828,sykehjem_beboere,Institusjon - sykehjemsbeboere (antall),2021,17,personer,ssb_12292,ekte
1828,sykehjem_beboere,Institusjon - sykehjemsbeboere (antall),2022,15,personer,ssb_12292,ekte
1828,sykehjem_beboere,Institusjon - sykehjemsbeboere (antall),2023,12,personer,ssb_12292,ekte
1828,sykehjem_beboere,Institusjon - sykehjemsbeboere (antall),2024,16,personer,ssb_12292,ekte
1828,sykehjem_beboere,Institusjon - sykehjemsbeboere (antall),2025,14,personer,ssb_12292,ekte
1828,hjemmetjeneste_brukere,Hjemmetjenester - brukere i alt (antall),2015,84,personer,ssb_12292,ekte
1828,hjemmetjeneste_brukere,Hjemmetjenester - brukere i alt (antall),2016,86,personer,ssb_12292,ekte
1828,hjemmetjeneste_brukere,Hjemmetjenester - brukere i alt (antall),2017,88,personer,ssb_12292,ekte
1828,hjemmetjeneste_brukere,Hjemmetjenester - brukere i alt (antall),2018,73,personer,ssb_12292,ekte
1828,hjemmetjeneste_brukere,Hjemmetjenester - brukere i alt (antall),2019,73,personer,ssb_12292,ekte
1828,hjemmetjeneste_brukere,Hjemmetjenester - brukere i alt (antall),2020,63,personer,ssb_12292,ekte
1828,hjemmetjeneste_brukere,Hjemmetjenester - brukere i alt (antall),2021,70,personer,ssb_12292,ekte
1828,hjemmetjeneste_brukere,Hjemmetjenester - brukere i alt (antall),2022,63,personer,ssb_12292,ekte
1828,hjemmetjeneste_brukere,Hjemmetjenester - brukere i alt (antall),2023,66,personer,ssb_12292,ekte
1828,hjemmetjeneste_brukere,Hjemmetjenester - brukere i alt (antall),2024,85,personer,ssb_12292,ekte
1828,hjemmetjeneste_brukere,Hjemmetjenester - brukere i alt (antall),2025,92,personer,ssb_12292,ekte
1828,hjemmetjeneste_brukere_80pluss,Hjemmetjenester - brukere 80 år og over (antall),2015,29,personer,ssb_12292,ekte
1828,hjemmetjeneste_brukere_80pluss,Hjemmetjenester - brukere 80 år og over (antall),2016,30,personer,ssb_12292,ekte
1828,hjemmetjeneste_brukere_80pluss,Hjemmetjenester - brukere 80 år og over (antall),2017,29,personer,ssb_12292,ekte
1828,hjemmetjeneste_brukere_80pluss,Hjemmetjenester - brukere 80 år og over (antall),2018,30,personer,ssb_12292,ekte
1828,hjemmetjeneste_brukere_80pluss,Hjemmetjenester - brukere 80 år og over (antall),2019,30,personer,ssb_12292,ekte
1828,hjemmetjeneste_brukere_80pluss,Hjemmetjenester - brukere 80 år og over (antall),2020,26,personer,ssb_12292,ekte
1828,hjemmetjeneste_brukere_80pluss,Hjemmetjenester - brukere 80 år og over (antall),2021,25,personer,ssb_12292,ekte
1828,hjemmetjeneste_brukere_80pluss,Hjemmetjenester - brukere 80 år og over (antall),2022,24,personer,ssb_12292,ekte
1828,hjemmetjeneste_brukere_80pluss,Hjemmetjenester - brukere 80 år og over (antall),2023,26,personer,ssb_12292,ekte
1828,hjemmetjeneste_brukere_80pluss,Hjemmetjenester - brukere 80 år og over (antall),2024,35,personer,ssb_12292,ekte
1828,hjemmetjeneste_brukere_80pluss,Hjemmetjenester - brukere 80 år og over (antall),2025,36,personer,ssb_12292,ekte
1828,inst_oppholdsdogn,Institusjon - oppholdsdøgn totalt (antall),2015,7260,dogn,ssb_12292,ekte
1828,inst_oppholdsdogn,Institusjon - oppholdsdøgn totalt (antall),2016,6766,dogn,ssb_12292,ekte
1828,inst_oppholdsdogn,Institusjon - oppholdsdøgn totalt (antall),2017,8245,dogn,ssb_12292,ekte
1828,inst_oppholdsdogn,Institusjon - oppholdsdøgn totalt (antall),2018,7892,dogn,ssb_12292,ekte
1828,inst_oppholdsdogn,Institusjon - oppholdsdøgn totalt (antall),2019,7892,dogn,ssb_12292,ekte
1828,inst_oppholdsdogn,Institusjon - oppholdsdøgn totalt (antall),2020,8018,dogn,ssb_12292,ekte
1828,inst_oppholdsdogn,Institusjon - oppholdsdøgn totalt (antall),2021,5732,dogn,ssb_12292,ekte
1828,inst_oppholdsdogn,Institusjon - oppholdsdøgn totalt (antall),2022,6708,dogn,ssb_12292,ekte
1828,inst_oppholdsdogn,Institusjon - oppholdsdøgn totalt (antall),2023,5473,dogn,ssb_12292,ekte
1828,inst_oppholdsdogn,Institusjon - oppholdsdøgn totalt (antall),2024,4608,dogn,ssb_12292,ekte
1828,inst_oppholdsdogn,Institusjon - oppholdsdøgn totalt (antall),2025,5922,dogn,ssb_12292,ekte
1828,omsorg_arsverk_brukerrettet,Brukerrettede årsverk i omsorgstjenesten (antall),2015,72,arsverk,ssb_12292,ekte
1828,omsorg_arsverk_brukerrettet,Brukerrettede årsverk i omsorgstjenesten (antall),2016,69,arsverk,ssb_12292,ekte
1828,omsorg_arsverk_brukerrettet,Brukerrettede årsverk i omsorgstjenesten (antall),2017,75,arsverk,ssb_12292,ekte
1828,omsorg_arsverk_brukerrettet,Brukerrettede årsverk i omsorgstjenesten (antall),2018,74,arsverk,ssb_12292,ekte
1828,omsorg_arsverk_brukerrettet,Brukerrettede årsverk i omsorgstjenesten (antall),2019,73,arsverk,ssb_12292,ekte
1828,omsorg_arsverk_brukerrettet,Brukerrettede årsverk i omsorgstjenesten (antall),2020,76,arsverk,ssb_12292,ekte
1828,omsorg_arsverk_brukerrettet,Brukerrettede årsverk i omsorgstjenesten (antall),2021,72,arsverk,ssb_12292,ekte
1828,omsorg_arsverk_brukerrettet,Brukerrettede årsverk i omsorgstjenesten (antall),2022,75,arsverk,ssb_12292,ekte
1828,omsorg_arsverk_brukerrettet,Brukerrettede årsverk i omsorgstjenesten (antall),2023,84,arsverk,ssb_12292,ekte
1828,omsorg_arsverk_brukerrettet,Brukerrettede årsverk i omsorgstjenesten (antall),2024,84,arsverk,ssb_12292,ekte
1828,omsorg_arsverk_brukerrettet,Brukerrettede årsverk i omsorgstjenesten (antall),2025,79,arsverk,ssb_12292,ekte
1832,korttid_beboere,Institusjon - beboere på tidsbegrenset opphold (antall),2015,10,personer,ssb_12292,ekte
1832,korttid_beboere,Institusjon - beboere på tidsbegrenset opphold (antall),2016,11,personer,ssb_12292,ekte
1832,korttid_beboere,Institusjon - beboere på tidsbegrenset opphold (antall),2017,8,personer,ssb_12292,ekte
1832,korttid_beboere,Institusjon - beboere på tidsbegrenset opphold (antall),2018,10,personer,ssb_12292,ekte
1832,korttid_beboere,Institusjon - beboere på tidsbegrenset opphold (antall),2019,6,personer,ssb_12292,ekte
1832,korttid_beboere,Institusjon - beboere på tidsbegrenset opphold (antall),2020,17,personer,ssb_12292,ekte
1832,korttid_beboere,Institusjon - beboere på tidsbegrenset opphold (antall),2021,9,personer,ssb_12292,ekte
1832,korttid_beboere,Institusjon - beboere på tidsbegrenset opphold (antall),2022,10,personer,ssb_12292,ekte
1832,korttid_beboere,Institusjon - beboere på tidsbegrenset opphold (antall),2023,11,personer,ssb_12292,ekte
1832,korttid_beboere,Institusjon - beboere på tidsbegrenset opphold (antall),2024,10,personer,ssb_12292,ekte
1832,korttid_beboere,Institusjon - beboere på tidsbegrenset opphold (antall),2025,12,personer,ssb_12292,ekte
1832,langtid_beboere,Institusjon - beboere på langtidsopphold (antall),2015,45,personer,ssb_12292,ekte
1832,langtid_beboere,Institusjon - beboere på langtidsopphold (antall),2016,46,personer,ssb_12292,ekte
1832,langtid_beboere,Institusjon - beboere på langtidsopphold (antall),2017,45,personer,ssb_12292,ekte
1832,langtid_beboere,Institusjon - beboere på langtidsopphold (antall),2018,43,personer,ssb_12292,ekte
1832,langtid_beboere,Institusjon - beboere på langtidsopphold (antall),2019,44,personer,ssb_12292,ekte
1832,langtid_beboere,Institusjon - beboere på langtidsopphold (antall),2020,38,personer,ssb_12292,ekte
1832,langtid_beboere,Institusjon - beboere på langtidsopphold (antall),2021,45,personer,ssb_12292,ekte
1832,langtid_beboere,Institusjon - beboere på langtidsopphold (antall),2022,44,personer,ssb_12292,ekte
1832,langtid_beboere,Institusjon - beboere på langtidsopphold (antall),2023,39,personer,ssb_12292,ekte
1832,langtid_beboere,Institusjon - beboere på langtidsopphold (antall),2024,42,personer,ssb_12292,ekte
1832,langtid_beboere,Institusjon - beboere på langtidsopphold (antall),2025,40,personer,ssb_12292,ekte
1832,sykehjem_beboere,Institusjon - sykehjemsbeboere (antall),2015,50,personer,ssb_12292,ekte
1832,sykehjem_beboere,Institusjon - sykehjemsbeboere (antall),2016,52,personer,ssb_12292,ekte
1832,sykehjem_beboere,Institusjon - sykehjemsbeboere (antall),2017,51,personer,ssb_12292,ekte
1832,sykehjem_beboere,Institusjon - sykehjemsbeboere (antall),2018,50,personer,ssb_12292,ekte
1832,sykehjem_beboere,Institusjon - sykehjemsbeboere (antall),2019,47,personer,ssb_12292,ekte
1832,sykehjem_beboere,Institusjon - sykehjemsbeboere (antall),2020,52,personer,ssb_12292,ekte
1832,sykehjem_beboere,Institusjon - sykehjemsbeboere (antall),2021,51,personer,ssb_12292,ekte
1832,sykehjem_beboere,Institusjon - sykehjemsbeboere (antall),2022,52,personer,ssb_12292,ekte
1832,sykehjem_beboere,Institusjon - sykehjemsbeboere (antall),2023,48,personer,ssb_12292,ekte
1832,sykehjem_beboere,Institusjon - sykehjemsbeboere (antall),2024,48,personer,ssb_12292,ekte
1832,sykehjem_beboere,Institusjon - sykehjemsbeboere (antall),2025,47,personer,ssb_12292,ekte
1832,hjemmetjeneste_brukere,Hjemmetjenester - brukere i alt (antall),2015,224,personer,ssb_12292,ekte
1832,hjemmetjeneste_brukere,Hjemmetjenester - brukere i alt (antall),2016,234,personer,ssb_12292,ekte
1832,hjemmetjeneste_brukere,Hjemmetjenester - brukere i alt (antall),2017,246,personer,ssb_12292,ekte
1832,hjemmetjeneste_brukere,Hjemmetjenester - brukere i alt (antall),2018,264,personer,ssb_12292,ekte
1832,hjemmetjeneste_brukere,Hjemmetjenester - brukere i alt (antall),2019,254,personer,ssb_12292,ekte
1832,hjemmetjeneste_brukere,Hjemmetjenester - brukere i alt (antall),2020,308,personer,ssb_12292,ekte
1832,hjemmetjeneste_brukere,Hjemmetjenester - brukere i alt (antall),2021,277,personer,ssb_12292,ekte
1832,hjemmetjeneste_brukere,Hjemmetjenester - brukere i alt (antall),2022,240,personer,ssb_12292,ekte
1832,hjemmetjeneste_brukere,Hjemmetjenester - brukere i alt (antall),2023,251,personer,ssb_12292,ekte
1832,hjemmetjeneste_brukere,Hjemmetjenester - brukere i alt (antall),2024,241,personer,ssb_12292,ekte
1832,hjemmetjeneste_brukere,Hjemmetjenester - brukere i alt (antall),2025,225,personer,ssb_12292,ekte
1832,hjemmetjeneste_brukere_80pluss,Hjemmetjenester - brukere 80 år og over (antall),2015,113,personer,ssb_12292,ekte
1832,hjemmetjeneste_brukere_80pluss,Hjemmetjenester - brukere 80 år og over (antall),2016,115,personer,ssb_12292,ekte
1832,hjemmetjeneste_brukere_80pluss,Hjemmetjenester - brukere 80 år og over (antall),2017,108,personer,ssb_12292,ekte
1832,hjemmetjeneste_brukere_80pluss,Hjemmetjenester - brukere 80 år og over (antall),2018,112,personer,ssb_12292,ekte
1832,hjemmetjeneste_brukere_80pluss,Hjemmetjenester - brukere 80 år og over (antall),2019,104,personer,ssb_12292,ekte
1832,hjemmetjeneste_brukere_80pluss,Hjemmetjenester - brukere 80 år og over (antall),2020,99,personer,ssb_12292,ekte
1832,hjemmetjeneste_brukere_80pluss,Hjemmetjenester - brukere 80 år og over (antall),2021,93,personer,ssb_12292,ekte
1832,hjemmetjeneste_brukere_80pluss,Hjemmetjenester - brukere 80 år og over (antall),2022,92,personer,ssb_12292,ekte
1832,hjemmetjeneste_brukere_80pluss,Hjemmetjenester - brukere 80 år og over (antall),2023,100,personer,ssb_12292,ekte
1832,hjemmetjeneste_brukere_80pluss,Hjemmetjenester - brukere 80 år og over (antall),2024,98,personer,ssb_12292,ekte
1832,hjemmetjeneste_brukere_80pluss,Hjemmetjenester - brukere 80 år og over (antall),2025,100,personer,ssb_12292,ekte
1832,inst_oppholdsdogn,Institusjon - oppholdsdøgn totalt (antall),2015,18336,dogn,ssb_12292,ekte
