hf_id,hf_navn,helseregion,tjenesteomrade,metric,period,value,unit,source_id,quality
983974724,Helse Bergen HF,H03,SOM,utskrivninger,2019,62465,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,utskrivninger,2020,57452,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,utskrivninger,2021,61712,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,utskrivninger,2022,62709,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,utskrivninger,2023,62588,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,utskrivninger,2024,62764,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,utskrivninger,2025,70372,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,liggedager,2015,302315,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,liggedager,2016,288017,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,liggedager,2017,279111,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,liggedager,2018,262563,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,liggedager,2019,253013,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,liggedager,2020,228682,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,liggedager,2021,243868,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,liggedager,2022,251024,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,liggedager,2023,244120,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,liggedager,2024,239490,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,liggedager,2025,239009,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,polikliniske_konsultasjoner,2015,515989,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,polikliniske_konsultasjoner,2016,526823,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,polikliniske_konsultasjoner,2017,544350,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,polikliniske_konsultasjoner,2018,558761,antall,ssb_13942,ekte
