municipality_code,aldersgruppe,period,value,unit,source_id,quality
1103,18-29,2015,23527,personer,ssb_07459,ekte
1103,30-49,2015,39804,personer,ssb_07459,ekte
1103,50-66,2015,24941,personer,ssb_07459,ekte
1103,67-79,2015,9901,personer,ssb_07459,ekte
1103,80-89,2015,3619,personer,ssb_07459,ekte
1103,90+,2015,960,personer,ssb_07459,ekte
1103,alle,2015,132102,personer,ssb_07459,ekte
1106,0-17,2015,7895,personer,ssb_07459,ekte
1106,18-29,2015,6047,personer,ssb_07459,ekte
1106,30-49,2015,10687,personer,ssb_07459,ekte
1106,50-66,2015,7106,personer,ssb_07459,ekte
1106,67-79,2015,3270,personer,ssb_07459,ekte
1106,80-89,2015,1209,personer,ssb_07459,ekte
1106,90+,2015,324,personer,ssb_07459,ekte
1106,alle,2015,36538,personer,ssb_07459,ekte
1108,alle,2015,0,personer,ssb_07459,ekte
1111,0-17,2015,781,personer,ssb_07459,ekte
1111,18-29,2015,488,personer,ssb_07459,ekte
1111,30-49,2015,795,personer,ssb_07459,ekte
1111,50-66,2015,709,personer,ssb_07459,ekte
1111,67-79,2015,334,personer,ssb_07459,ekte
1111,80-89,2015,153,personer,ssb_07459,ekte
1111,90+,2015,49,personer,ssb_07459,ekte
1111,alle,2015,3309,personer,ssb_07459,ekte
1112,0-17,2015,815,personer,ssb_07459,ekte
1112,18-29,2015,524,personer,ssb_07459,ekte
1112,30-49,2015,769,personer,ssb_07459,ekte
1112,50-66,2015,682,personer,ssb_07459,ekte
1112,67-79,2015,314,personer,ssb_07459,ekte
1112,80-89,2015,97,personer,ssb_07459,ekte
1112,90+,2015,46,personer,ssb_07459,ekte
1112,alle,2015,3247,personer,ssb_07459,ekte
1114,0-17,2015,786,personer,ssb_07459,ekte
1114,18-29,2015,443,personer,ssb_07459,ekte
1114,30-49,2015,740,personer,ssb_07459,ekte
1114,50-66,2015,571,personer,ssb_07459,ekte
1114,67-79,2015,205,personer,ssb_07459,ekte
1114,80-89,2015,88,personer,ssb_07459,ekte
1114,90+,2015,28,personer,ssb_07459,ekte
1114,alle,2015,2861,personer,ssb_07459,ekte
1119,0-17,2015,4996,personer,ssb_07459,ekte
1119,18-29,2015,3256,personer,ssb_07459,ekte
1119,30-49,2015,5069,personer,ssb_07459,ekte
1119,50-66,2015,3258,personer,ssb_07459,ekte
1119,67-79,2015,1361,personer,ssb_07459,ekte
1119,80-89,2015,449,personer,ssb_07459,ekte
1119,90+,2015,139,personer,ssb_07459,ekte
1119,alle,2015,18528,personer,ssb_07459,ekte
1120,0-17,2015,5044,personer,ssb_07459,ekte
1120,18-29,2015,3135,personer,ssb_07459,ekte
1120,30-49,2015,5611,personer,ssb_07459,ekte
1120,50-66,2015,3051,personer,ssb_07459,ekte
1120,67-79,2015,1433,personer,ssb_07459,ekte
1120,80-89,2015,390,personer,ssb_07459,ekte
1120,90+,2015,77,personer,ssb_07459,ekte
1120,alle,2015,18741,personer,ssb_07459,ekte
1121,0-17,2015,4715,personer,ssb_07459,ekte
1121,18-29,2015,3158,personer,ssb_07459,ekte
1121,30-49,2015,5150,personer,ssb_07459,ekte
1121,50-66,2015,3349,personer,ssb_07459,ekte
1121,67-79,2015,1382,personer,ssb_07459,ekte
1121,80-89,2015,453,personer,ssb_07459,ekte
1121,90+,2015,99,personer,ssb_07459,ekte
1121,alle,2015,18306,personer,ssb_07459,ekte
1122,0-17,2015,3140,personer,ssb_07459,ekte
1122,18-29,2015,2129,personer,ssb_07459,ekte
1122,30-49,2015,3370,personer,ssb_07459,ekte
1122,50-66,2015,2031,personer,ssb_07459,ekte
1122,67-79,2015,695,personer,ssb_07459,ekte
1122,80-89,2015,185,personer,ssb_07459,ekte
