region_id,region_navn,region_type,tjenesteomrade,aldersgruppe,diagnose_kode,diagnose_navn,metric,period,value,unit,source_id,quality
0,Hele landet,land,SOM,alle,XVII,"(Q00-Q99) Medfødte misdannelser, deformiteter og kromosomavvik",pasienter_dogn,2015,5193,personer,ssb_14824,ekte
0,Hele landet,land,SOM,alle,XVII,"(Q00-Q99) Medfødte misdannelser, deformiteter og kromosomavvik",dognopphold,2015,6882,antall,ssb_14824,ekte
0,Hele landet,land,SOM,alle,XVII,"(Q00-Q99) Medfødte misdannelser, deformiteter og kromosomavvik",oppholdsdogn,2015,30636,dogn,ssb_14824,ekte
0,Hele landet,land,SOM,alle,XVIII,"(R00-R99) Symptomer, tegn, unormale kliniske funn og laboratoriefunn, ikke klassifisert annet sted",pasienter,2015,313803,personer,ssb_14824,ekte
0,Hele landet,land,SOM,alle,XVIII,"(R00-R99) Symptomer, tegn, unormale kliniske funn og laboratoriefunn, ikke klassifisert annet sted",pasienter_dogn,2015,65628,personer,ssb_14824,ekte
0,Hele landet,land,SOM,alle,XVIII,"(R00-R99) Symptomer, tegn, unormale kliniske funn og laboratoriefunn, ikke klassifisert annet sted",dognopphold,2015,74136,antall,ssb_14824,ekte
0,Hele landet,land,SOM,alle,XVIII,"(R00-R99) Symptomer, tegn, unormale kliniske funn og laboratoriefunn, ikke klassifisert annet sted",oppholdsdogn,2015,131826,dogn,ssb_14824,ekte
0,Hele landet,land,SOM,alle,XXI,(Z00-Z99) Faktorer som har betydning for helsetilstand og kontakt med helsetjenesten,pasienter,2015,760029,personer,ssb_14824,ekte
0,Hele landet,land,SOM,alle,XXI,(Z00-Z99) Faktorer som har betydning for helsetilstand og kontakt med helsetjenesten,pasienter_dogn,2015,105402,personer,ssb_14824,ekte
0,Hele landet,land,SOM,alle,XXI,(Z00-Z99) Faktorer som har betydning for helsetilstand og kontakt med helsetjenesten,dognopphold,2015,113010,antall,ssb_14824,ekte
0,Hele landet,land,SOM,alle,XXI,(Z00-Z99) Faktorer som har betydning for helsetilstand og kontakt med helsetjenesten,oppholdsdogn,2015,512310,dogn,ssb_14824,ekte
